"","ChemicalCompound",Containers,General,Hydrocarbon,Total
Australia,"7,200.00",70.87,"13,747.31","10,315.39","31,333.57"
Brunei Darussalam,,,,"63,336.10","63,336.10"
China,,0.00,"3,733.08",,"3,733.08"
"Korea, Republic of",,,"3,000.00",,"3,000.00"
Malaysia,,,,"38,880.65","38,880.65"
Singapore,,379.20,,"39,153.62","39,532.82"
"Taiwan, Province of China",,,,"10,811.54","10,811.54"
Total,"7,200.00",450.07,"20,480.39","162,497.30","190,627.76"
"",Copper Concentrates,Iron Ore,Manganese Ore,Salt,Spodumene Concentrate,Total
China,"11,602.00","33,977,683.00","112,288.00",,"24,500.00","34,126,073.00"
Indonesia,,"523,940.00",,,,"523,940.00"
Japan,"7,141.00","1,250,372.00",,"108,977.00",,"1,366,490.00"
"Korea, Republic of",,"4,199,614.00",,"75,425.00",,"4,275,039.00"
Malaysia,,"78,254.00",,,,"78,254.00"
"Taiwan, Province of China",,"460,743.00",,"31,834.00",,"492,577.00"
Total,"18,743.00","40,490,606.00","112,288.00","216,236.00","24,500.00","40,862,373.00"
